Dataset,Class,Construction_time_ms,Total_classification_time_s,Average_classification_time_us,Throughput_classification_Mpps,Total_update_time_s,Average_update_time_us,Throughput_update_Mpps
acl1_1k,PSTSS,0.2665,0.000822,0.093699,10.672433,0.000151,0.177291,5.640431
acl1_1k,CutTSS,1.62774,0.000833,0.094923,10.534854,0.000177,0.20787,4.810709
acl1_1k,HybridTSS,465.789,0.000323,0.036802,27.17276,0.000156,0.183891,5.438012
acl2_1k,PSTSS,0.313253,0.000955,0.105327,9.494245,0.000165,0.182309,5.485201
acl2_1k,CutTSS,1.35383,0.000397,0.04379,22.836447,0.000103,0.113778,8.789015
acl2_1k,HybridTSS,311.574,0.000442,0.048686,20.539577,0.000148,0.163677,6.109596
acl3_1k,PSTSS,0.398329,0.002137,0.217421,4.599377,0.000187,0.192972,5.182094
acl3_1k,CutTSS,1.55201,0.000508,0.051632,19.367954,0.000121,0.124647,8.022672
acl3_1k,HybridTSS,296.28,0.000271,0.027544,36.305376,0.000131,0.135392,7.38594
acl4_1k,PSTSS,0.374999,0.002186,0.215635,4.637471,0.000204,0.207142,4.8276
acl4_1k,CutTSS,1.48234,0.000511,0.050371,19.852848,0.000143,0.145379,6.878569
acl4_1k,HybridTSS,312.43,0.000261,0.025761,38.818609,0.000134,0.136258,7.339012
acl5_1k,PSTSS,0.30083,0.00062,0.070421,14.20029,0.000156,0.17749,5.634127
acl5_1k,CutTSS,1.61593,0.000538,0.061141,16.355703,0.00015,0.170791,5.855113
acl5_1k,HybridTSS,302.062,0.000309,0.035087,28.500988,0.000144,0.163587,6.112937
acl1_10k,PSTSS,1.60962,0.011056,0.232169,4.307205,0.001068,0.225409,4.43637
acl1_10k,CutTSS,7.9484,0.012389,0.260169,3.843659,0.00135,0.284829,3.510882
acl1_10k,HybridTSS,425.082,0.004106,0.086233,11.596483,0.001086,0.229097,4.364962
acl2_10k,PSTSS,1.78172,0.009909,0.100899,9.910917,0.001054,0.196165,5.097757
acl2_10k,CutTSS,7.66592,0.007592,0.077299,12.936805,0.001013,0.188558,5.303398
acl2_10k,HybridTSS,405.026,0.008283,0.084339,11.856914,0.001121,0.208661,4.792452
acl3_10k,PSTSS,2.8966,0.026066,0.307243,3.254758,0.001368,0.161256,6.20131
acl3_10k,CutTSS,13.3535,0.011026,0.129963,7.694522,0.001743,0.205407,4.868383
acl3_10k,HybridTSS,471.317,0.005077,0.059839,16.711451,0.001639,0.193203,5.175904
acl4_10k,PSTSS,2.87063,0.058124,0.688173,1.453123,0.001484,0.175761,5.689542
acl4_10k,CutTSS,13.0121,0.008928,0.105699,9.460812,0.001928,0.228226,4.381617
acl4_10k,HybridTSS,575.52,0.006127,0.072539,13.78569,0.002117,0.250709,3.98869
acl5_10k,PSTSS,1.67541,0.007393,0.132472,7.548748,0.001027,0.185212,5.399209
acl5_10k,CutTSS,9.3837,0.006492,0.116332,8.596108,0.001261,0.227392,4.3977
acl5_10k,HybridTSS,386.268,0.003089,0.055359,18.063862,0.001144,0.206357,4.845963
acl1_100k,PSTSS,4.02012,0.281422,1.026859,0.973844,0.006122,0.429573,2.327895
acl1_100k,CutTSS,24.9805,0.287855,1.050333,0.952079,0.006637,0.465699,2.147311
acl1_100k,HybridTSS,834.569,0.022134,0.080764,12.381808,0.015681,1.100238,0.908894
acl2_100k,PSTSS,9.45974,0.05646,0.148118,6.751369,0.007072,0.240402,4.159701
acl2_100k,CutTSS,44.7269,0.046105,0.120951,8.267785,0.009625,0.327184,3.056382
acl2_100k,HybridTSS,1132.35,0.102145,0.267969,3.731781,0.01263,0.429339,2.329159
acl3_100k,PSTSS,20.8927,0.332472,0.528359,1.892654,0.016672,0.264946,3.774354
acl3_100k,CutTSS,113.272,0.2719,0.432098,2.314289,0.028791,0.457542,2.185591
acl3_100k,HybridTSS,2088.1,0.101077,0.16063,6.225474,0.030363,0.482525,2.072432
acl4_100k,PSTSS,21.8,0.365229,0.564756,1.770677,0.017225,0.266387,3.753939
acl4_100k,CutTSS,136.535,0.335783,0.519222,1.925957,0.028761,0.444799,2.248207
acl4_100k,HybridTSS,2375.74,0.100222,0.154974,6.452679,0.026343,0.407408,2.454541
acl5_100k,PSTSS,11.2781,0.047097,0.148735,6.723381,0.006231,0.196837,5.08035
acl5_100k,CutTSS,59.1182,0.054031,0.170632,5.860556,0.009892,0.31246,3.200407
acl5_100k,HybridTSS,1086.67,0.0234,0.073899,13.531973,0.011405,0.360259,2.77578
ipc1_1k,PSTSS,0.332319,0.008827,0.222709,4.490156,0.000186,0.202663,4.934299
ipc1_1k,CutTSS,1.89439,0.000803,0.020262,49.352987,0.000109,0.118961,8.406135
ipc1_1k,HybridTSS,332.096,0.001509,0.038071,26.266584,0.000147,0.16077,6.22007
ipc2_1k,PSTSS,0.167629,0.000159,0.041009,24.38465,6.3e-05,0.162951,6.136813
ipc2_1k,CutTSS,0.850747,0.000135,0.034758,28.770205,5e-05,0.128794,7.764348
ipc2_1k,HybridTSS,355.548,0.000161,0.041584,24.047994,6.4e-05,0.165539,6.040885
ipc1_10k,PSTSS,2.38564,0.023454,0.302821,3.302276,0.001518,0.196041,5.100972
ipc1_10k,CutTSS,12.8317,0.008786,0.113438,8.815368,0.00135,0.174281,5.737856
ipc1_10k,HybridTSS,486.896,0.008222,0.10616,9.419743,0.001857,0.239786,4.170378
ipc2_10k,PSTSS,0.289552,0.000488,0.052637,18.997911,0.000153,0.167225,5.979953
ipc2_10k,CutTSS,2.06825,0.000516,0.055727,17.944728,0.000177,0.193533,5.167082
ipc2_10k,HybridTSS,302.207,0.000529,0.057065,17.523774,0.000167,0.182595,5.476596
ipc1_100k,PSTSS,17.2637,0.212334,0.403223,2.480016,0.011682,0.222664,4.491079
ipc1_100k,CutTSS,95.8049,0.153657,0.291795,3.42706,0.020476,0.390278,2.562276
ipc1_100k,HybridTSS,1780.33,0.077765,0.147675,6.771617,0.022709,0.432856,2.310237
ipc2_100k,PSTSS,0.794375,0.001283,0.050622,19.754323,0.000427,0.168568,5.932328
ipc2_100k,CutTSS,5.45563,0.001983,0.078248,12.779938,0.000539,0.212792,4.699433
ipc2_100k,HybridTSS,390.191,0.001805,0.071207,14.043604,0.000479,0.18889,5.294078
fw1_1k,PSTSS,0.229638,0.001059,0.120242,8.316578,0.000125,0.176589,5.662859
fw1_1k,CutTSS,1.25934,0.000569,0.064592,15.48174,0.000121,0.171948,5.815726
fw1_1k,HybridTSS,292.936,0.000467,0.053076,18.841057,0.00012,0.170035,5.881128
fw2_1k,PSTSS,0.131274,0.000269,0.06419,15.578653,9e-05,0.213943,4.674148
fw2_1k,CutTSS,0.822952,0.00027,0.064311,15.549484,8.2e-05,0.196551,5.08773
fw2_1k,HybridTSS,333.242,0.000178,0.042298,23.64174,7.5e-05,0.179334,5.576183
fw3_1k,PSTSS,0.132604,0.00085,0.201315,4.967342,0.0001,0.275165,3.634185
fw3_1k,CutTSS,0.804156,0.000648,0.153492,6.515,9.7e-05,0.265319,3.769052
fw3_1k,HybridTSS,298.164,0.000139,0.032939,30.358742,5.9e-05,0.16344,6.11847
fw4_1k,PSTSS,0.267831,0.001057,0.143348,6.976009,0.000147,0.200012,4.999694
fw4_1k,CutTSS,1.44293,0.001145,0.155273,6.440249,0.00015,0.204274,4.895375
fw4_1k,HybridTSS,297.071,0.000425,0.057653,17.345189,0.000138,0.187845,5.323535
fw5_1k,PSTSS,0.151625,0.000673,0.136669,7.316969,9.3e-05,0.189236,5.284413
fw5_1k,CutTSS,0.940159,0.000537,0.109157,9.161156,9.9e-05,0.202039,4.949549
fw5_1k,HybridTSS,352.472,0.000245,0.049676,20.130268,8.1e-05,0.165435,6.044672
fw1_10k,PSTSS,0.825862,0.013138,0.372077,2.687618,0.000607,0.216226,4.624783
fw1_10k,CutTSS,4.93743,0.012242,0.3467,2.884337,0.000677,0.24125,4.145073
fw1_10k,HybridTSS,363.526,0.002061,0.05837,17.132043,0.000527,0.187712,5.327301
fw2_10k,PSTSS,0.655413,0.001039,0.075589,13.229471,0.000249,0.191475,5.222604
fw2_10k,CutTSS,2.3302,0.001362,0.09906,10.094904,0.000303,0.233462,4.283348
fw2_10k,HybridTSS,334.968,0.000844,0.061351,16.299523,0.000262,0.201973,4.951156
fw3_10k,PSTSS,0.567465,0.007357,0.367689,2.719693,0.000437,0.222842,4.487488
fw3_10k,CutTSS,3.79953,0.008102,0.404937,2.469518,0.000492,0.251044,3.983359
fw3_10k,HybridTSS,322.103,0.000892,0.044563,22.440065,0.000667,0.340452,2.937271
fw4_10k,PSTSS,1.53168,0.033447,0.636041,1.572225,0.001185,0.250729,3.988364
fw4_10k,CutTSS,9.88017,0.037107,0.705637,1.417159,0.001265,0.267689,3.735685
fw4_10k,HybridTSS,448.338,0.003865,0.073506,13.604331,0.001154,0.244099,4.096694
fw5_10k,PSTSS,0.859244,0.005611,0.254085,3.935694,0.000462,0.211041,4.738413
fw5_10k,CutTSS,3.93122,0.005285,0.239338,4.178195,0.000565,0.258247,3.87226
fw5_10k,HybridTSS,324.779,0.001922,0.087052,11.487379,0.003959,1.808447,0.552961
fw1_100k,PSTSS,2.94492,0.049393,0.578394,1.728924,0.002461,0.29025,3.445311
fw1_100k,CutTSS,16.8389,0.052529,0.615123,1.62569,0.002951,0.348045,2.873194
fw1_100k,HybridTSS,566.445,0.010347,0.121167,8.253095,0.00292,0.344386,2.903719
fw2_100k,PSTSS,0.480506,0.001801,0.099079,10.093005,0.000301,0.18651,5.361646
fw2_100k,CutTSS,2.77862,0.002146,0.118028,8.472541,0.000372,0.230232,4.343444
fw2_100k,HybridTSS,351.838,0.001103,0.06069,16.477061,0.000331,0.204968,4.878815
fw3_100k,PSTSS,1.84657,0.013914,0.554142,1.804593,0.000736,0.296054,3.377758
fw3_100k,CutTSS,4.8167,0.014441,0.575126,1.738749,0.000803,0.323136,3.094672
fw3_100k,HybridTSS,360.547,0.00223,0.088825,11.258093,0.00081,0.326155,3.066031
fw4_100k,PSTSS,5.69764,0.229657,1.177614,0.849175,0.011735,0.602564,1.659575
fw4_100k,CutTSS,44.1626,0.211427,1.084135,0.922394,0.012876,0.661158,1.512499
fw4_100k,HybridTSS,913.276,0.016783,0.086057,11.6202,0.139792,7.178034,0.139314
fw5_100k,PSTSS,2.34273,0.035895,0.512058,1.952903,0.001815,0.259374,3.855438
fw5_100k,CutTSS,11.9368,0.036787,0.52478,1.905562,0.002129,0.304219,3.287106
fw5_100k,HybridTSS,517.478,0.006794,0.096925,10.317205,0.006178,0.883008,1.132492
