Dataset,Class,Construction_time_ms,Total_classification_time_s,Average_classification_time_us,Throughput_classification_Mpps,Total_update_time_s,Average_update_time_us,Throughput_update_Mpps
acl1_1k,PSTSS,0.337029,0.000847,0.096619,10.349934,0.000182,0.213565,4.68241
acl1_1k,CutTSS,1.92763,0.000841,0.09594,10.423179,0.000232,0.272663,3.667534
acl1_1k,HybridTSS,8238.2,0.00023,0.02627,38.066676,0.000116,0.136461,7.328121
acl2_1k,PSTSS,0.356818,0.000958,0.105602,9.469489,0.000176,0.194324,5.146041
acl2_1k,CutTSS,1.34783,0.000396,0.043668,22.899985,9.8e-05,0.107856,9.271659
acl2_1k,HybridTSS,8213.54,0.000568,0.06258,15.97954,0.000106,0.116363,8.593817
acl3_1k,PSTSS,0.357138,0.002155,0.219232,4.561374,0.000184,0.189961,5.264242
acl3_1k,CutTSS,1.5132,0.00052,0.052913,18.898794,0.000111,0.114533,8.731072
acl3_1k,HybridTSS,8717.84,0.000242,0.024606,40.640323,8.5e-05,0.087101,11.480934
acl4_1k,PSTSS,0.355796,0.002057,0.20292,4.928045,0.000195,0.198278,5.043412
acl4_1k,CutTSS,1.40908,0.000532,0.052475,19.056688,0.000151,0.152966,6.537381
acl4_1k,HybridTSS,9296.12,0.000274,0.027011,37.022213,8.1e-05,0.081931,12.205408
acl5_1k,PSTSS,0.310505,0.000618,0.070209,14.243267,0.000147,0.166698,5.998882
acl5_1k,CutTSS,1.53454,0.000543,0.061737,16.197616,0.000152,0.172549,5.79546
acl5_1k,HybridTSS,8088.47,0.000166,0.018873,52.985698,6.7e-05,0.076451,13.08025
acl1_10k,PSTSS,1.49255,0.010715,0.225019,4.444071,0.00107,0.225721,4.430242
acl1_10k,CutTSS,7.54078,0.012255,0.257349,3.88577,0.001353,0.285442,3.503344
acl1_10k,HybridTSS,42235.9,0.005175,0.108675,9.20173,0.00553,1.166574,0.857211
acl2_10k,PSTSS,1.66694,0.010056,0.102396,9.765973,0.000963,0.179203,5.580274
acl2_10k,CutTSS,8.27113,0.007802,0.079439,12.588301,0.001139,0.211962,4.717834
acl2_10k,HybridTSS,48329.1,0.021156,0.215409,4.642332,0.001261,0.234755,4.259766
acl3_10k,PSTSS,2.68453,0.0255,0.300565,3.327068,0.001384,0.163088,6.131653
acl3_10k,CutTSS,13.161,0.010816,0.127482,7.844268,0.001735,0.204491,4.890198
acl3_10k,HybridTSS,82474.6,0.005635,0.066422,15.055225,0.001031,0.121487,8.231363
acl4_10k,PSTSS,3.40782,0.056745,0.671839,1.488452,0.001508,0.178589,5.599455
acl4_10k,CutTSS,12.6286,0.009252,0.109535,9.129491,0.002125,0.251605,3.974491
acl4_10k,HybridTSS,75761.2,0.006047,0.07159,13.96849,0.001233,0.145957,6.851332
acl5_10k,PSTSS,1.766,0.007109,0.127384,7.850294,0.000941,0.169802,5.889226
acl5_10k,CutTSS,9.51089,0.006613,0.11849,8.439517,0.001243,0.224195,4.460407
acl5_10k,HybridTSS,51761.8,0.002509,0.044959,22.242414,0.000979,0.176643,5.661123
acl1_100k,PSTSS,4.05089,0.274152,1.000332,0.999668,0.005639,0.395669,2.527365
acl1_100k,CutTSS,29.5528,0.281398,1.026772,0.973926,0.006687,0.469199,2.131293
acl1_100k,HybridTSS,136490.0,0.036591,0.133513,7.489903,0.004193,0.294171,3.399389
acl2_100k,PSTSS,9.59954,0.055108,0.144572,6.91697,0.006883,0.233965,4.274136
acl2_100k,CutTSS,47.5117,0.049443,0.12971,7.709497,0.010084,0.342782,2.917308
acl2_100k,HybridTSS,316804.0,0.057228,0.150133,6.660745,0.009077,0.308553,3.240932
acl3_100k,PSTSS,22.1884,0.313867,0.498791,2.004848,0.018003,0.286104,3.495232
acl3_100k,CutTSS,127.015,0.258905,0.411446,2.430451,0.024788,0.39393,2.538519
acl3_100k,HybridTSS,698576.0,0.114388,0.181783,5.501079,0.018513,0.294208,3.398961
acl4_100k,PSTSS,23.1254,0.36379,0.56253,1.777683,0.018496,0.286043,3.495979
acl4_100k,CutTSS,132.875,0.312752,0.48361,2.067781,0.028591,0.442176,2.261542
acl4_100k,HybridTSS,709454.0,0.117028,0.18096,5.526076,0.018488,0.285919,3.497494
acl5_100k,PSTSS,10.6685,0.044369,0.140118,7.136837,0.007804,0.246531,4.056281
acl5_100k,CutTSS,62.9297,0.056295,0.177782,5.624882,0.009708,0.306663,3.260906
acl5_100k,HybridTSS,356578.0,0.016389,0.051756,19.321459,0.006961,0.219874,4.548056
ipc1_1k,PSTSS,0.426745,0.008699,0.219476,4.556302,0.000211,0.230381,4.340643
ipc1_1k,CutTSS,1.59981,0.000702,0.017722,56.428601,0.000101,0.109975,9.092982
ipc1_1k,HybridTSS,8169.45,0.001363,0.034395,29.074026,9.7e-05,0.106057,9.428918
ipc2_1k,PSTSS,0.129764,0.000143,0.036953,27.06108,6.3e-05,0.161722,6.183464
ipc2_1k,CutTSS,0.763845,0.000124,0.032017,31.233879,5.4e-05,0.139008,7.193844
ipc2_1k,HybridTSS,3575.83,0.000126,0.032426,30.839451,4.6e-05,0.119508,8.367659
ipc1_10k,PSTSS,2.83322,0.022279,0.287654,3.476394,0.001415,0.182673,5.47425
ipc1_10k,CutTSS,12.0843,0.009233,0.119212,8.388403,0.001368,0.176664,5.66045
ipc1_10k,HybridTSS,74170.1,0.006966,0.089948,11.117562,0.001056,0.136336,7.334827
ipc2_10k,PSTSS,0.283291,0.000468,0.050504,19.800381,0.000143,0.15681,6.377159
ipc2_10k,CutTSS,2.01368,0.00047,0.050662,19.738753,0.000166,0.181266,5.516759
ipc2_10k,HybridTSS,9504.52,0.000414,0.044643,22.399756,0.000115,0.126183,7.925016
